id;cal_date;duration;remarks
1;2020-08-29T20:57:46;Afternoon1600;Games Fresh
2;2020-08-30T03:09:33;Morning1000;Technician Uruguay Health
3;2020-08-29T21:34:44;Afternoon1400;Mill
4;2020-08-29T14:33:50;Afternoon1400;Station
5;2020-08-30T00:53:44;Morning1000;Village New York
6;2020-08-29T18:53:02;Afternoon1600;matrix Cross-group
7;2020-08-29T18:03:18;Afternoon1400;Sports yellow Berkshire
8;2020-08-29T16:35:47;Afternoon1600;SSL
9;2020-08-29T12:45:00;Afternoon1600;Keyboard
10;2020-08-30T05:36:42;Morning0800;Wooden Tennessee Money Market Account
