id;txn_type;amount;total_amount_to_mentor;issued_time;remarks
1;PAID;35108;44899;2020-08-30T02:05:16;payment drive payment
2;CANCELLED;18840;13511;2020-08-29T19:49:19;infrastructure COM Clothing
3;PAID;28616;90511;2020-08-30T06:13:05;Practical Metal Sausages Harbors circuit
4;CANCELLED;12792;90524;2020-08-29T13:51:17;Incredible Fresh Table
5;ISSUED;13246;64482;2020-08-30T04:07:16;Licensed deposit
6;PAID;49249;60166;2020-08-29T19:29:47;Direct
7;ISSUED;38734;86245;2020-08-30T00:51:01;RAM lavender
8;CANCELLED;77991;8151;2020-08-30T04:25:01;Towels navigate
9;ISSUED;64984;24643;2020-08-29T21:09:27;Object-based
10;CANCELLED;54470;93409;2020-08-30T08:55:18;online Buckinghamshire purple
