id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Associate Assurance info-mediaries;12366;20282;2020-08-30T11:46:29;2020-08-30T07:29:02;Gloves Baby
2;Active;Garden;40409;84713;2020-08-30T02:47:17;2020-08-29T14:20:11;hack deposit Regional
3;Active;Vermont quantifying;55760;19536;2020-08-30T06:26:55;2020-08-30T06:49:43;eco-centric innovative installation
4;Active;Home Bedfordshire;298;3502;2020-08-30T08:22:43;2020-08-29T23:38:28;magenta revolutionize
5;Inactive;District;48714;83828;2020-08-29T14:23:13;2020-08-30T09:20:38;migration Licensed Balboa US Dollar
6;Active;invoice withdrawal Money Market Account;16297;29603;2020-08-29T22:09:28;2020-08-29T17:16:14;Customer Buckinghamshire
7;Active;Bedfordshire;60763;77323;2020-08-30T11:17:42;2020-08-30T11:11:35;bandwidth Consultant Rhode Island
8;Active;intuitive calculating;79519;97570;2020-08-29T21:18:53;2020-08-30T05:13:55;indexing Multi-lateral Danish Krone
9;Inactive;New Caledonia Bedfordshire;98305;76535;2020-08-29T21:05:15;2020-08-30T05:41:47;USB Connecticut
10;Active;Jewelery Coordinator ubiquitous;62796;75795;2020-08-30T02:30:35;2020-08-30T06:33:55;applications online hacking
