id;status;progress;commission_amount;avg_rating;amount_received;user_name;fees;remarks
1;Propose;Two;74607;36507;2861;Table Nevada;49717;International Strategist
2;Completed;Two;70308;95703;1310;Mall client-server;77326;South Carolina
3;Progress;Two;71077;33173;61172;Alaska Administrator Metal;30003;Sausages
4;Completed;Four;83344;18549;29505;Practical Concrete Bike Central Gorgeous;74689;bluetooth Cotton
5;Propose;Two;8065;58078;71726;national copying withdrawal;58216;distributed Rubber
6;Progress;Four;89786;36728;42521;Secured Croatian Kuna;68099;Hat proactive Kentucky
7;Propose;Three;93515;75230;97290;payment Gorgeous;88695;Planner Advanced Surinam Dollar
8;Completed;Four;91202;25774;26958;Springs;83768;Gorgeous Frozen Shirt Gorgeous invoice
9;Progress;One;27479;26;38246;grid-enabled;39678;TCP virtual Unbranded Steel Sausages
10;Propose;Two;72968;81764;87923;Squares blue;38607;Hryvnia
